"number","en_name","jp_name","skill_id","jp_skill_name","en_skill_text","leader_id","jp_leader_name","en_leader_text","jp_name_normalized","jp_skill_name_normalized","jp_leader_name_normalized"
"1","Tyrra","ティラ","2","ヒートブレス","Inflict Fire damage equal to ATK x3 to all enemies. Affected by enemy element and defense.","2","火の力","Fire attribute cards ATK x1.5.","ﾃｲﾗ","ﾋ-ﾄﾌﾞﾚｽ","火の力"
"10","Brachio","ブラッキオ","7","ウィンドブレス","Inflict Wood damage equal to ATK x3 to all enemies. Affected by enemy element and defense.","7","木の力","Wood attribute cards ATK x1.5.","ﾌﾞﾗﾂｷｵ","ｳｲﾝﾄﾞﾌﾞﾚｽ","木の力"
"100","Mystic Ice Knight","氷の魔剣士","53","ドロップ変化・水","Change Wood orbs to Water orbs.","51","水の守り","30% Water damage reduction.","氷の魔剣士","ﾄﾞﾛﾂﾌﾟ変化水","水の守り"
"1000","Abyssal Hell Deity Jackal, Anubis","闇獄冥狼神・アヌビス","140","暗黒の呪い","Counter 3x damage taken with Dark for 4 turns. Change Wood orbs to Dark orbs.","566","冥狼の啓示","ATK x10 at 10 combos. ATK x1 for each additional combo, up to ATK x15 at 15 combos.","闇獄冥狼神ｱﾇﾋﾞｽ","暗黒の呪い","冥狼の啓示"
"1001","Deathly Hell Deity Jackal, Anubis","天臨冥狼神・アヌビス","140","暗黒の呪い","Counter 3x damage taken with Dark for 4 turns. Change Wood orbs to Dark orbs.","565","冥狼の怒号","ATK x4 at 8 combos. ATK x3 for each additional combo, up to ATK x10 at 10 combos.","天臨冥狼神ｱﾇﾋﾞｽ","暗黒の呪い","冥狼の怒号"
"1002","Baby TAMADRA","たまドラベビー","","","","481","能力覚醒？","Fusing this card to another may result in an awakening. ( Low success rate )","たまﾄﾞﾗﾍﾞﾋﾞ-","","能力覚醒?"
"1003","Present Egg","プレゼントＢＯＸ","","","","","","","ﾌﾟﾚｾﾞﾝﾄBOX","",""
"1004","Present Egg","プレゼントＢＯＸ","","","","","","","ﾌﾟﾚｾﾞﾝﾄBOX","",""
"1005","Snow Globe Dragon Blanc","ノエルドラゴン・ブラン","333","ホーリーギフト","Inflict Light damage equal to ATK x30 to 1 enemy. Affected by enemy element and defense.","442","聖夜の祈り・光","Light attribute cards HP x2, RCV x2.","ﾉｴﾙﾄﾞﾗｺﾞﾝﾌﾞﾗﾝ","ﾎ-ﾘ-ｷﾞﾌﾄ","聖夜の祈り光"
"1006","Snow Globe Dragon Noir","ノエルドラゴン・ノワール","334","ダークネスギフト","Inflict Dark damage equal to ATK x30 to 1 enemy. Affected by enemy element and defense.","443","聖夜の祈り・闇","Dark attribute cards HP x2, RCV x2.","ﾉｴﾙﾄﾞﾗｺﾞﾝﾉﾜ-ﾙ","ﾀﾞ-ｸﾈｽｷﾞﾌﾄ","聖夜の祈り闇"
